,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
03/25,254.0,251.0,258.0,248.0,268.0,254.0,261.0,261.0,255.0,255.0,250.0,239.0,261.0,256.0,254.0,269.0
03/26,254.0,252.0,253.0,244.0,266.0,252.0,261.0,256.0,255.0,255.0,253.0,254.0,254.0,257.0,260.0,260.0
03/27,261.0,259.0,261.0,254.0,270.0,246.0,262.0,253.0,255.0,254.0,248.0,250.0,266.0,262.0,260.0,272.0
03/28,263.0,259.0,250.0,258.0,269.0,251.0,254.0,253.0,251.0,253.0,254.0,234.0,254.0,260.0,264.0,260.0
03/29,254.0,256.0,254.0,253.0,254.0,239.0,265.0,254.0,251.0,253.0,251.0,237.0,255.0,254.0,268.0,264.0
03/30,251.0,260.0,252.0,254.0,265.0,254.0,254.0,256.0,247.0,250.0,254.0,231.0,252.0,252.0,267.0,272.0
03/31,252.0,263.0,254.0,249.0,258.0,248.0,262.0,254.0,247.0,252.0,263.0,238.0,256.0,254.0,267.0,268.0
04/01,254.0,266.0,257.0,257.0,261.0,258.0,263.0,258.0,248.0,254.0,261.0,242.0,258.0,261.0,258.0,262.0
04/02,260.0,257.0,260.0,257.0,261.0,248.0,256.0,248.0,258.0,256.0,261.0,258.0,259.0,258.0,260.0,266.0
04/03,253.0,252.0,260.0,259.0,266.0,247.0,263.0,256.0,252.0,258.0,258.0,238.0,260.0,260.0,258.0,264.0
04/04,254.0,258.0,251.0,260.0,265.0,249.0,258.0,258.0,246.0,258.0,261.0,235.0,258.0,253.0,257.0,263.0
04/05,253.0,267.0,252.0,260.0,258.0,250.0,264.0,266.0,252.0,258.0,255.0,238.0,257.0,259.0,258.0,261.0
04/06,256.0,258.0,249.0,261.0,263.0,258.0,258.0,268.0,254.0,260.0,258.0,235.0,257.0,267.0,258.0,263.0
04/07,253.0,261.0,254.0,257.0,262.0,240.0,266.0,258.0,247.0,266.0,258.0,245.0,260.0,258.0,263.0,272.0
04/08,258.0,261.0,249.0,258.0,265.0,251.0,254.0,267.0,253.0,270.0,258.0,241.0,254.0,265.0,258.0,265.0
04/09,259.0,258.0,250.0,247.0,254.0,251.0,258.0,257.0,258.0,262.0,257.0,258.0,257.0,263.0,267.0,266.0
04/10,255.0,251.0,252.0,259.0,266.0,258.0,255.0,260.0,246.0,264.0,260.0,242.0,252.0,269.0,258.0,256.0
04/11,252.0,253.0,257.0,253.0,263.0,250.0,258.0,258.0,246.0,261.0,260.0,258.0,258.0,254.0,263.0,263.0
04/12,250.0,251.0,265.0,253.0,262.0,248.0,260.0,262.0,251.0,258.0,255.0,246.0,264.0,268.0,260.0,257.0
04/13,257.0,257.0,264.0,254.0,260.0,251.0,258.0,263.0,252.0,275.0,253.0,243.0,258.0,264.0,251.0,263.0
04/14,251.0,257.0,266.0,246.0,258.0,254.0,263.0,265.0,254.0,270.0,254.0,248.0,258.0,258.0,257.0,266.0
04/15,254.0,258.0,252.0,258.0,267.0,258.0,265.0,266.0,251.0,279.0,258.0,237.0,257.0,270.0,251.0,258.0
04/16,254.0,264.0,252.0,258.0,258.0,255.0,262.0,258.0,258.0,274.0,257.0,240.0,258.0,258.0,253.0,261.0
04/17,259.0,259.0,240.0,258.0,264.0,258.0,258.0,267.0,251.0,273.0,256.0,243.0,248.0,262.0,258.0,260.0
04/18,256.0,265.0,246.0,261.0,263.0,254.0,262.0,262.0,258.0,272.0,259.0,258.0,258.0,265.0,256.0,261.0
04/19,254.0,262.0,261.0,258.0,268.0,251.0,264.0,265.0,257.0,276.0,255.0,238.0,259.0,259.0,258.0,260.0
04/20,261.0,261.0,255.0,266.0,256.0,252.0,258.0,261.0,255.0,274.0,257.0,237.0,258.0,261.0,259.0,263.0
04/21,259.0,263.0,260.0,261.0,263.0,244.0,263.0,260.0,260.0,258.0,252.0,243.0,266.0,264.0,251.0,261.0
04/22,259.0,260.0,248.0,262.0,264.0,258.0,260.0,257.0,264.0,269.0,258.0,231.0,260.0,262.0,257.0,263.0
04/23,254.0,257.0,256.0,264.0,265.0,251.0,264.0,258.0,256.0,260.0,254.0,240.0,260.0,258.0,258.0,259.0
04/24,257.0,261.0,252.0,268.0,266.0,258.0,255.0,263.0,250.0,270.0,258.0,244.0,255.0,266.0,258.0,251.0
04/25,258.0,257.0,255.0,270.0,266.0,246.0,258.0,265.0,258.0,270.0,258.0,258.0,262.0,266.0,260.0,264.0
04/26,258.0,254.0,254.0,267.0,270.0,258.0,262.0,268.0,249.0,266.0,253.0,243.0,264.0,270.0,258.0,259.0
04/27,255.0,259.0,254.0,261.0,267.0,258.0,261.0,273.0,253.0,268.0,258.0,258.0,258.0,266.0,253.0,263.0
04/28,258.0,269.0,263.0,264.0,258.0,251.0,254.0,275.0,250.0,258.0,253.0,244.0,258.0,270.0,261.0,268.0
04/29,263.0,267.0,258.0,261.0,258.0,257.0,258.0,275.0,242.0,266.0,255.0,242.0,258.0,265.0,255.0,263.0
04/30,258.0,257.0,262.0,257.0,258.0,255.0,262.0,258.0,253.0,262.0,253.0,244.0,261.0,258.0,252.0,269.0
05/01,259.0,259.0,252.0,259.0,268.0,261.0,253.0,270.0,263.0,265.0,261.0,236.0,256.0,266.0,255.0,269.0
05/02,257.0,263.0,261.0,255.0,269.0,261.0,268.0,261.0,261.0,256.0,253.0,246.0,263.0,261.0,261.0,264.0
05/03,260.0,253.0,263.0,261.0,269.0,261.0,272.0,268.0,272.0,265.0,249.0,248.0,249.0,265.0,261.0,263.0
05/04,259.0,255.0,253.0,259.0,272.0,254.0,263.0,264.0,261.0,254.0,259.0,261.0,257.0,257.0,259.0,261.0
05/05,252.0,249.0,264.0,262.0,271.0,255.0,259.0,270.0,263.0,261.0,256.0,249.0,265.0,266.0,261.0,258.0
05/06,256.0,257.0,255.0,261.0,278.0,255.0,261.0,267.0,260.0,254.0,257.0,249.0,261.0,258.0,263.0,261.0
05/07,255.0,259.0,254.0,255.0,261.0,258.0,262.0,260.0,257.0,261.0,252.0,248.0,258.0,258.0,256.0,266.0
05/08,260.0,255.0,255.0,258.0,261.0,261.0,256.0,262.0,251.0,262.0,254.0,242.0,262.0,258.0,259.0,261.0
05/09,253.0,260.0,262.0,254.0,267.0,256.0,252.0,261.0,261.0,257.0,256.0,244.0,262.0,261.0,256.0,263.0
05/10,257.0,259.0,254.0,259.0,275.0,251.0,255.0,262.0,267.0,261.0,261.0,241.0,260.0,268.0,261.0,264.0
05/11,259.0,259.0,252.0,254.0,266.0,246.0,261.0,260.0,261.0,268.0,260.0,261.0,263.0,259.0,258.0,265.0
05/12,255.0,255.0,257.0,259.0,265.0,261.0,256.0,268.0,255.0,259.0,256.0,249.0,264.0,262.0,261.0,260.0
