,342.5nm,388nm,442nm,463nm,483.5nm
171019,3.018,2.499,1.996,1.831,1.685
171020,,,,,
171021,,,,,
171022,,,,,
171023,,,,,
171024,,,,,
171025,,,,,
171026,,,,,
171027,,,,,
171028,,,,,
171029,,,,,
171030,3.119,2.894,2.598,2.481,2.369
171031,1.079,1.009,0.912,0.873,0.835
171101,2.714,2.247,1.795,1.647,1.516
171102,1.189,1.148,1.11,1.097,1.086
171103,,,,,
171104,,,,,
171105,,,,,
171106,,,,,
171107,,,,,
171108,,,,,
171109,,,,,
171110,,,,,
171111,,,,,
171112,,,,,
171113,,,,,
171114,,,,,
171115,5.583,4.703,3.824,3.529,3.265
171116,,,,,
171117,,,,,
171118,,,,,
171119,2.559,2.471,2.389,2.362,2.337
171120,,,,,
171121,,,,,
171122,,,,,
171123,,,,,
171124,,,,,
171125,,,,,
171126,,,,,
171127,,,,,
171128,,,,,
171129,,,,,
171130,,,,,
171201,,,,,
171202,,,,,
171203,,,,,
171204,,,,,
171205,,,,,
171206,,,,,
171207,,,,,
171208,2.183,2.036,1.835,1.754,1.676
171209,,,,,
171210,,,,,
171211,,,,,
171212,,,,,
171213,,,,,
171214,,,,,
171215,,,,,
171216,,,,,
171217,,,,,
171218,,,,,
171219,,,,,
171220,2.027,1.74,1.44,1.337,1.243
171221,,,,,
171222,,,,,
171223,,,,,
171224,,,,,
171225,,,,,
171226,,,,,
171227,,,,,
171228,,,,,
171229,,,,,
171230,,,,,
171231,,,,,
180101,,,,,
180102,,,,,
180103,,,,,
180104,,,,,
180105,,,,,
180106,,,,,
180107,,,,,
180108,,,,,
180109,,,,,
180110,,,,,
180111,,,,,
180112,1.655,1.544,1.391,1.33,1.27
180113,,,,,
180114,,,,,
180115,,,,,
180116,,,,,
180117,,,,,
180118,2.944,2.643,2.302,2.177,2.061
180119,,,,,
180120,,,,,
180121,2.002,1.868,1.683,1.609,1.537
180122,,,,,
180123,,,,,
180124,,,,,
180125,,,,,
180126,,,,,
180127,,,,,
180128,,,,,
180129,,,,,
180130,,,,,
180131,,,,,
180201,,,,,
180202,,,,,
180203,,,,,
180204,,,,,
180205,,,,,
180206,,,,,
180207,,,,,
180208,,,,,
180209,,,,,
180210,,,,,
180211,,,,,
180212,,,,,
180213,,,,,
180214,,,,,
180215,,,,,
180216,,,,,
180217,,,,,
180218,,,,,
180219,3.891,3.24,2.607,2.399,2.213
180220,,,,,
180221,,,,,
180222,,,,,
180223,,,,,
180224,,,,,
180225,,,,,
180226,,,,,
180227,,,,,
180228,,,,,
180301,,,,,
180302,,,,,
180303,,,,,
180304,,,,,
180305,,,,,
180306,,,,,
180307,,,,,
180308,,,,,
180309,,,,,
180310,5.111,4.386,3.63,3.37,3.135
180311,,,,,
180312,,,,,
180313,,,,,
180314,,,,,
180315,2.166,1.867,1.554,1.446,1.348
180316,,,,,
180317,,,,,
180318,,,,,
180319,,,,,
180320,,,,,
180321,,,,,
180322,3.285,3.064,2.761,2.64,2.522
180323,,,,,
180324,,,,,
