,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
05/23,238.578,256.2,251.767,254.0,246.575,245.667,246.589,248.087,237.044,256.278,240.078,245.289,265.222,248.087,255.1,239.633,
05/24,261.578,249.311,251.889,248.288,252.733,237.667,244.244,268.767,243.733,244.033,248.087,249.011,263.933,262.633,239.956,244.2,
05/25,236.256,252.578,246.978,252.044,246.644,244.922,248.087,250.033,248.087,250.356,240.867,243.567,257.467,242.157,245.122,248.862,
05/26,244.156,247.1,247.667,244.922,254.7,248.087,244.5,255.578,254.667,247.933,243.567,241.122,253.322,252.844,248.087,241.778,
05/27,241.667,251.367,246.2,244.333,249.0,242.867,237.778,251.278,245.467,243.289,239.9,248.087,240.344,246.333,263.133,233.522,
05/28,248.087,245.533,254.178,238.567,248.087,240.778,243.289,250.767,252.422,248.087,244.733,248.0,249.6,249.367,236.357,244.844,
05/29,247.267,248.822,251.022,251.433,246.422,240.075,248.087,259.367,250.9,255.133,236.589,244.622,248.087,249.644,247.233,248.087,
05/30,243.356,243.367,235.889,237.133,248.087,238.444,245.6,256.022,247.533,243.8,239.589,234.629,262.2,259.5,243.3,254.733,
05/31,243.033,241.978,243.289,251.489,256.8,248.087,249.856,250.744,256.389,253.689,248.087,248.087,258.478,242.422,246.3,235.443,
06/01,243.022,247.189,239.267,244.422,244.456,239.844,251.9,248.087,259.378,251.189,249.267,248.087,257.375,249.828,240.767,237.167,
06/02,251.456,243.1,239.222,246.611,249.356,249.828,249.344,250.6,254.6,251.222,242.133,249.828,255.878,248.5,258.889,241.344,
06/03,248.289,243.367,249.828,257.956,243.956,249.756,249.828,252.822,249.828,257.933,247.678,249.828,251.222,242.722,243.367,238.267,
06/04,247.133,244.444,243.667,251.178,252.5,236.633,242.978,239.988,259.9,245.467,242.089,249.828,253.122,240.537,249.828,247.744,
06/05,246.833,246.178,245.189,249.111,251.644,242.167,249.828,251.933,252.133,251.811,240.333,249.828,249.828,248.144,241.733,273.4,
06/06,244.333,249.189,244.067,245.956,250.022,249.011,255.544,244.989,261.688,249.828,246.689,249.828,268.3,239.867,242.633,242.644,
06/07,251.544,245.444,247.933,257.233,245.878,253.633,247.633,251.067,256.433,261.3,243.722,249.828,249.714,246.278,253.7,249.828,
06/08,248.156,248.667,248.822,250.467,249.828,250.467,248.7,249.828,253.067,249.544,249.456,249.828,260.933,249.828,245.478,240.933,
06/09,246.511,247.389,252.1,252.757,252.4,246.211,249.844,257.267,254.078,249.163,249.828,249.828,242.822,258.567,244.089,243.422,
06/10,245.333,253.456,249.511,253.056,245.233,244.189,249.828,240.9,249.828,248.922,250.7,249.828,247.056,244.229,249.278,244.943,
06/11,240.4,248.433,253.033,249.811,242.462,249.828,252.567,258.756,264.6,237.989,250.411,249.828,252.089,241.311,249.828,246.389,
06/12,237.711,245.156,251.911,252.111,236.333,245.767,248.689,247.822,252.6,244.467,239.7,249.828,253.989,239.344,259.3,241.456,
06/13,234.011,252.0,254.878,243.944,249.828,244.556,254.189,253.333,259.089,249.828,248.211,249.828,248.822,245.811,245.943,242.344,
06/14,243.956,254.156,242.178,257.3,240.967,246.488,249.828,250.678,258.622,261.833,245.856,249.828,249.828,248.211,251.911,249.828,
06/15,237.044,251.133,242.789,248.622,249.828,254.189,250.0,251.678,272.089,249.667,245.356,252.237,251.533,271.3,251.333,249.733,
06/16,244.611,249.828,243.444,251.389,261.233,249.828,246.022,247.133,254.589,251.933,249.828,246.556,249.956,247.422,248.111,240.129,
06/17,242.144,258.956,242.067,252.811,242.344,246.167,246.462,249.828,258.711,251.156,255.9,246.333,244.75,249.828,249.289,238.578,
06/18,242.011,254.033,242.933,255.422,251.022,249.828,252.356,251.833,261.289,256.589,239.9,246.944,251.622,251.0,260.211,235.956,
06/19,245.067,256.822,230.467,256.878,241.833,250.133,249.828,253.178,249.828,254.622,251.789,249.828,246.256,254.244,251.9,245.5,
06/20,238.111,252.611,243.067,263.211,245.533,243.7,251.489,248.35,258.433,246.278,249.478,257.1,249.844,248.588,249.828,246.467,
06/21,243.7,258.067,238.044,260.811,249.989,250.444,249.828,256.9,264.3,251.956,251.756,254.157,249.828,255.211,245.033,279.378,
