,354nm,388nm,500nm
180625,,,
180626,0.529,0.456,0.287
180627,0.285,0.245,0.152
180628,0.31,0.267,0.168
180629,,,
180630,0.193,0.167,0.105
180701,0.993,0.936,0.8
180702,0.21,0.182,0.117
180703,0.626,0.557,0.394
180704,0.502,0.441,0.298
180705,0.933,0.805,0.506
180706,0.599,0.516,0.322
180707,,,
180708,,,
180709,0.344,0.296,0.185
180710,0.774,0.69,0.493
180711,0.281,0.248,0.171
180712,0.402,0.359,0.259
180713,0.496,0.449,0.338
180714,0.323,0.28,0.18
180715,,,
180716,0.448,0.395,0.272
180717,0.917,0.861,0.726
180718,0.171,0.148,0.093
180719,,,
180720,0.375,0.327,0.212
180721,0.336,0.297,0.207
180722,0.429,0.386,0.286
180723,0.172,0.15,0.098
180724,,,
180725,,,
180726,1.206,1.04,0.653
180727,,,
180728,0.533,0.467,0.314
180729,0.555,0.478,0.3
180730,0.479,0.413,0.26
180731,,,
180801,,,
180802,0.867,0.759,0.507
180803,0.458,0.395,0.249
180804,0.913,0.787,0.494
180805,,,
180806,,,
180807,,,
180808,0.35,0.302,0.191
180809,,,
180810,0.289,0.249,0.157
180811,,,
180812,,,
180813,0.584,0.509,0.333
180814,0.714,0.617,0.39
180815,0.344,0.298,0.189
180816,,,
180817,0.279,0.241,0.152
180818,0.812,0.715,0.489
180819,0.273,0.235,0.148
180820,,,
180821,0.747,0.643,0.403
180822,0.412,0.36,0.239
180823,0.461,0.407,0.282
180824,0.332,0.288,0.186
180825,,,
180826,0.291,0.251,0.157
180827,0.68,0.602,0.42
180828,0.39,0.336,0.211
180829,0.496,0.428,0.268
180830,,,
180831,,,
180901,,,
180902,0.361,0.311,0.194
180903,,,
180904,,,
180905,0.803,0.692,0.435
180906,,,
180907,,,
180908,0.493,0.425,0.267
180909,,,
180910,,,
180911,,,
180912,0.838,0.728,0.471
180913,,,
180914,,,
180915,,,
180916,,,
180917,,,
180918,,,
180919,,,
180920,,,
180921,,,
180922,,,
180923,0.367,0.317,0.199
180924,,,
180925,0.182,0.157,0.1
180926,,,
180927,,,
180928,,,
180929,,,
180930,0.622,0.536,0.336
181001,,,
181002,0.347,0.3,0.191
181003,,,
181004,0.304,0.263,0.166
181005,0.451,0.405,0.296
181006,0.225,0.194,0.121
181007,0.589,0.508,0.319
181008,,,
181009,0.188,0.164,0.108
181010,,,
181011,,,
181012,,,
181013,0.174,0.152,0.1
181014,0.522,0.455,0.299
181015,,,
181016,,,
181017,,,
181018,,,
181019,,,
181020,,,
181021,,,
181022,,,
181023,,,
181024,,,
181025,,,
181026,,,
181027,0.142,0.122,0.077
181028,,,
181029,0.063,0.057,0.042
181030,0.351,0.31,0.214
181031,,,
181101,0.103,0.093,0.07
181102,0.254,0.219,0.137
181103,0.13,0.112,0.071
181104,,,
181105,0.07,0.063,0.046
181106,0.417,0.383,0.301
181107,0.23,0.202,0.136
181108,0.423,0.365,0.23
181109,,,
181110,,,
181111,,,
181112,,,
181113,,,
181114,0.057,0.052,0.039
181115,0.288,0.252,0.168
181116,0.193,0.174,0.129
181117,,,
181118,,,
181119,,,
181120,,,
181121,0.109,0.096,0.065
181122,0.819,0.772,0.66
181123,0.224,0.197,0.134
181124,,,
181125,,,
181126,0.141,0.123,0.083
181127,,,
181128,,,
181129,,,
181130,0.065,0.059,0.046
181201,0.281,0.261,0.213
181202,0.086,0.075,0.05
181203,0.117,0.104,0.074
181204,0.206,0.178,0.112
181205,0.112,0.097,0.061
181206,,,
181207,,,
181208,0.619,0.566,0.439
181209,0.164,0.144,0.097
181210,0.191,0.169,0.116
181211,,,
181212,,,
181213,,,
181214,0.056,0.051,0.038
181215,,,
181216,,,
181217,0.408,0.373,0.291
181218,0.129,0.121,0.104
181219,0.087,0.077,0.055
181220,,,
181221,0.031,0.028,0.02
181222,,,
181223,0.111,0.097,0.062
181224,0.539,0.497,0.398
181225,,,
181226,,,
181227,0.203,0.182,0.133
181228,0.153,0.136,0.096
181229,,,
181230,,,
181231,,,
190101,,,
190102,,,
190103,0.198,0.173,0.112
190104,0.192,0.169,0.115
190105,0.048,0.041,0.026
190106,0.204,0.176,0.111
190107,,,
190108,0.194,0.167,0.105
190109,0.316,0.285,0.211
190110,0.16,0.138,0.088
190111,0.396,0.342,0.215
190112,0.202,0.179,0.123
190113,0.235,0.203,0.128
190114,,,
190115,,,
190116,,,
190117,,,
190118,0.673,0.581,0.366
190119,0.148,0.128,0.081
190120,0.122,0.108,0.075
190121,,,
190122,0.189,0.164,0.107
190123,,,
190124,0.04,0.037,0.028
190125,0.378,0.336,0.238
190126,0.193,0.173,0.126
190127,,,
190128,0.285,0.261,0.206
190129,0.103,0.092,0.066
190130,,,
190131,0.085,0.073,0.046
190201,,,
190202,0.36,0.31,0.195
190203,0.477,0.416,0.274
190204,,,
190205,0.319,0.275,0.172
190206,0.319,0.275,0.174
190207,0.277,0.24,0.152
190208,,,
190209,,,
190210,0.549,0.478,0.311
190211,0.186,0.161,0.101
190212,,,
190213,,,
190214,0.307,0.266,0.17
190215,,,
190216,0.108,0.096,0.07
190217,,,
190218,0.174,0.151,0.098
190219,0.615,0.543,0.373
190220,0.234,0.218,0.18
190221,0.229,0.209,0.161
190222,,,
190223,,,
190224,,,
190225,0.04,0.037,0.028
190226,0.535,0.47,0.317
190227,0.231,0.201,0.132
190228,,,
190301,,,
190302,0.238,0.213,0.154
190303,,,
190304,,,
190305,,,
190306,0.117,0.101,0.063
190307,0.551,0.478,0.307
190308,0.345,0.297,0.187
190309,0.436,0.38,0.249
190310,,,
190311,0.392,0.338,0.212
190312,,,
190313,0.124,0.108,0.072
190314,0.669,0.577,0.364
190315,,,
190316,,,
190317,,,
190318,,,
190319,,,
190320,0.294,0.253,0.159
190321,,,
190322,0.552,0.475,0.299
190323,0.472,0.422,0.304
190324,0.312,0.27,0.171
190325,0.534,0.47,0.319
190326,,,
190327,,,
190328,,,
190329,0.201,0.182,0.137
190330,0.893,0.77,0.484
190331,0.29,0.25,0.156
190401,,,
190402,0.705,0.611,0.392
190403,0.316,0.281,0.199
190404,0.499,0.439,0.297
190405,,,
190406,,,
190407,0.285,0.247,0.16
190408,0.518,0.467,0.345
190409,0.267,0.239,0.172
190410,0.349,0.325,0.268
190411,0.441,0.415,0.353
190412,0.352,0.303,0.19
190413,,,
190414,0.216,0.187,0.119
190415,0.697,0.631,0.477
190416,0.808,0.71,0.463
190417,0.434,0.383,0.263
190418,0.364,0.325,0.234
190419,0.365,0.315,0.2
190420,0.433,0.385,0.273
190421,0.25,0.217,0.139
190422,,,
190423,,,
190424,0.797,0.701,0.476
190425,0.377,0.336,0.239
190426,0.425,0.374,0.255
190427,0.456,0.41,0.302
190428,0.399,0.344,0.216
190429,,,
190430,,,
190501,0.837,0.751,0.549
190502,,,
190503,,,
190504,0.816,0.704,0.443
190505,0.328,0.283,0.177
190506,,,
190507,0.156,0.138,0.096
190508,,,
190509,0.426,0.37,0.24
190510,0.612,0.53,0.338
190511,0.32,0.287,0.208
190512,0.53,0.464,0.312
190513,0.78,0.714,0.557
190514,0.391,0.337,0.21
190515,,,
190516,,,
190517,0.629,0.572,0.434
190518,0.285,0.253,0.18
190519,0.676,0.588,0.383
190520,0.693,0.598,0.377
190521,0.361,0.32,0.224
190522,,,
190523,0.569,0.495,0.323
190524,,,
190525,0.31,0.267,0.167
190526,0.99,0.885,0.641
190527,0.299,0.257,0.161
190528,0.617,0.534,0.342
190529,0.597,0.514,0.322
190530,,,
190531,,,
190601,0.395,0.34,0.213
190602,0.463,0.437,0.375
190603,,,
190604,,,
190605,,,
190606,0.302,0.26,0.163
190607,0.494,0.426,0.268
190608,0.194,0.167,0.104
190609,,,
190610,,,
190611,1.017,0.877,0.55
190612,,,
190613,0.587,0.508,0.324
190614,0.448,0.393,0.265
190615,0.296,0.257,0.166
190616,,,
190617,,,
190618,1.206,1.04,0.652
190619,0.239,0.205,0.128
190620,0.591,0.514,0.334
190621,,,
190622,0.349,0.305,0.204
190623,0.671,0.579,0.365
190624,,,
190625,,,
190626,0.213,0.201,0.173
190627,0.681,0.595,0.393
190628,0.543,0.468,0.293
190629,0.5,0.44,0.3
190630,0.584,0.521,0.374
190701,0.357,0.308,0.193
190702,,,
190703,,,
190704,0.95,0.834,0.563
190705,0.253,0.218,0.136
190706,,,
190707,0.478,0.412,0.257
190708,0.406,0.352,0.226
190709,0.437,0.389,0.277
190710,0.321,0.276,0.173
190711,,,
190712,,,
190713,0.964,0.831,0.521
190714,,,
190715,0.672,0.58,0.364
190716,0.503,0.434,0.272
190717,0.501,0.433,0.273
190718,,,
190719,0.218,0.188,0.118
190720,0.698,0.641,0.507
190721,0.46,0.397,0.25
190722,,,
190723,,,
190724,,,
190725,0.557,0.484,0.314
190726,0.186,0.171,0.136
190727,,,
190728,0.256,0.221,0.138
190729,0.616,0.553,0.406
190730,0.56,0.483,0.304
190731,0.465,0.411,0.285
190801,0.748,0.666,0.472
190802,0.584,0.504,0.317
190803,,,
190804,0.386,0.332,0.207
190805,1.155,0.995,0.624
190806,,,
190807,,,
190808,0.169,0.146,0.092
190809,0.376,0.33,0.222
190810,0.532,0.493,0.399
190811,0.329,0.284,0.178
190812,,,
190813,0.298,0.257,0.161
190814,0.959,0.837,0.553
190815,0.412,0.356,0.223
190816,0.63,0.543,0.341
190817,0.616,0.548,0.389
190818,0.387,0.334,0.209
190819,,,
190820,0.299,0.258,0.162
190821,1.252,1.182,1.014
190822,,,
190823,0.909,0.812,0.585
190824,,,
190825,0.596,0.514,0.322
190826,0.615,0.542,0.37
190827,0.341,0.294,0.184
190828,,,
190829,0.301,0.26,0.163
190830,0.901,0.779,0.494
190831,,,
190901,,,
190902,0.829,0.715,0.45
190903,,,
190904,,,
190905,,,
190906,,,
190907,,,
190908,,,
190909,,,
190910,0.459,0.396,0.249
190911,0.463,0.399,0.25
190912,0.355,0.306,0.192
190913,,,
190914,,,
190915,0.938,0.809,0.508
190916,,,
190917,0.54,0.466,0.292
190918,0.642,0.573,0.409
190919,,,
190920,,,
190921,0.176,0.151,0.095
190922,1.15,1.075,0.897
190923,,,
190924,0.671,0.579,0.364
190925,,,
190926,,,
190927,,,
190928,0.248,0.213,0.133
190929,,,
190930,,,
191001,0.811,0.714,0.484
191002,,,
191003,0.567,0.489,0.307
191004,,,
191005,0.25,0.216,0.136
191006,,,
191007,,,
191008,0.553,0.485,0.327
191009,0.244,0.211,0.135
191010,,,
191011,,,
191012,,,
191013,,,
191014,0.247,0.214,0.135
191015,,,
191016,,,
191017,,,
191018,0.201,0.173,0.109
191019,0.245,0.215,0.144
191020,,,
191021,,,
191022,,,
191023,0.389,0.336,0.211
191024,0.232,0.2,0.125
191025,0.223,0.193,0.121
191026,0.207,0.19,0.15
191027,0.203,0.186,0.147
191028,0.242,0.209,0.133
191029,,,
191030,0.057,0.05,0.033
191031,,,
191101,0.159,0.137,0.087
191102,0.466,0.41,0.278
191103,0.297,0.262,0.181
191104,0.274,0.24,0.161
191105,,,
191106,0.289,0.249,0.156
191107,,,
191108,,,
191109,,,
191110,0.202,0.174,0.108
191111,,,
191112,,,
191113,,,
191114,,,
191115,0.145,0.125,0.079
191116,,,
191117,,,
191118,0.696,0.648,0.534
191119,0.224,0.193,0.122
191120,0.268,0.233,0.149
191121,0.318,0.275,0.173
191122,0.131,0.114,0.074
191123,,,
191124,0.129,0.111,0.07
191125,0.189,0.179,0.154
191126,,,
191127,,,
191128,,,
191129,0.282,0.243,0.153
191130,,,
191201,0.078,0.067,0.043
191202,,,
191203,0.073,0.064,0.042
191204,0.286,0.265,0.216
191205,0.183,0.16,0.107
191206,0.233,0.202,0.129
191207,0.329,0.284,0.18
191208,0.147,0.127,0.082
191209,,,
191210,0.027,0.025,0.021
191211,0.588,0.556,0.477
191212,0.214,0.187,0.123
191213,0.199,0.182,0.141
191214,0.187,0.177,0.151
191215,0.088,0.08,0.061
191216,,,
191217,0.024,0.02,0.013
191218,,,
191219,,,
191220,,,
191221,0.243,0.21,0.132
191222,0.114,0.1,0.068
191223,0.174,0.15,0.095
191224,0.076,0.067,0.048
191225,,,
191226,,,
191227,0.703,0.607,0.384
191228,,,
191229,0.289,0.252,0.167
191230,0.239,0.212,0.148
191231,,,
200101,,,
200102,0.069,0.061,0.044
200103,,,
200104,0.06,0.052,0.033
200105,0.273,0.25,0.195
200106,0.193,0.17,0.114
200107,0.196,0.173,0.121
200108,,,
200109,0.188,0.162,0.102
200110,,,
200111,0.045,0.039,0.026
200112,,,
200113,,,
200114,0.392,0.34,0.217
200115,,,
200116,0.195,0.168,0.104
200117,,,
200118,0.195,0.168,0.106
200119,,,
200120,0.142,0.122,0.077
200121,0.363,0.315,0.202
200122,,,
200123,0.214,0.189,0.13
200124,0.252,0.218,0.138
200125,,,
200126,,,
200127,0.075,0.066,0.043
200128,0.54,0.504,0.418
200129,0.187,0.166,0.115
200130,,,
200131,,,
200201,0.341,0.294,0.185
200202,,,
200203,,,
200204,,,
200205,0.361,0.333,0.264
200206,0.297,0.271,0.21
200207,0.187,0.167,0.119
200208,0.265,0.239,0.176
200209,0.353,0.305,0.191
200210,,,
200211,,,
200212,0.281,0.266,0.228
200213,0.229,0.198,0.127
200214,0.221,0.196,0.138
200215,0.381,0.332,0.22
200216,0.269,0.232,0.146
200217,0.337,0.299,0.209
200218,,,
200219,0.213,0.185,0.119
200220,,,
200221,0.251,0.216,0.135
200222,0.505,0.44,0.287
200223,0.348,0.3,0.188
200224,0.276,0.24,0.156
200225,,,
200226,0.141,0.124,0.081
200227,,,
200228,0.139,0.122,0.081
200301,0.561,0.496,0.344
200302,0.236,0.207,0.137
200303,0.508,0.445,0.297
200304,,,
200305,0.285,0.251,0.17
200306,,,
200307,0.345,0.298,0.188
200308,,,
200309,,,
200310,,,
200311,,,
200312,0.435,0.377,0.241
200313,,,
200314,0.392,0.338,0.212
200315,,,
200316,,,
200317,,,
200318,,,
200319,0.685,0.593,0.378
200320,0.326,0.28,0.175
200321,0.3,0.261,0.169
200322,,,
200323,0.302,0.262,0.169
200324,,,
200325,0.158,0.14,0.1
200326,0.43,0.402,0.334
200327,0.231,0.204,0.14
200328,0.615,0.534,0.345
200329,,,
200330,,,
200331,,,
200401,0.259,0.223,0.14
200402,,,
200403,0.185,0.159,0.099
200404,0.615,0.535,0.347
200405,,,
200406,0.481,0.414,0.26
200407,,,
200408,0.233,0.202,0.13
200409,,,
200410,,,
200411,,,
200412,0.953,0.837,0.546
200413,0.329,0.302,0.237
200414,0.384,0.333,0.212
200415,0.241,0.223,0.181
200416,,,
200417,,,
200418,,,
200419,,,
200420,0.771,0.665,0.418
200421,0.33,0.29,0.197
200422,0.578,0.499,0.313
200423,,,
200424,0.311,0.269,0.172
200425,,,
200426,0.618,0.534,0.336
200427,0.923,0.809,0.54
200428,0.438,0.378,0.237
200429,0.525,0.457,0.295
200430,,,
200501,0.298,0.257,0.161
200502,,,
200503,0.208,0.18,0.113
200504,,,
200505,0.333,0.287,0.18
200506,0.702,0.611,0.398
200507,,,
200508,0.371,0.325,0.216
200509,,,
200510,0.276,0.261,0.224
200511,,,
200512,,,
200513,0.611,0.547,0.396
200514,0.255,0.241,0.207
200515,0.414,0.361,0.237
200516,,,
200517,0.286,0.249,0.164
200518,,,
200519,0.198,0.173,0.114
200520,0.913,0.846,0.687
200521,0.564,0.49,0.318
200522,0.727,0.629,0.4
200523,0.662,0.57,0.358
200524,0.443,0.382,0.24
200525,,,
200526,0.104,0.092,0.064
200527,,,
200528,0.289,0.25,0.157
200529,0.671,0.591,0.403
200530,,,
200531,,,
200601,,,
200602,,,
200603,,,
200604,0.185,0.159,0.099
200605,0.697,0.637,0.496
200606,0.477,0.414,0.267
200607,0.53,0.463,0.306
200608,0.411,0.366,0.259
200609,0.257,0.227,0.157
200610,,,
200611,0.419,0.361,0.227
200612,,,
200613,0.269,0.235,0.156
200614,0.603,0.558,0.45
200615,0.223,0.197,0.136
200616,0.414,0.363,0.245
200617,0.564,0.486,0.304
200618,0.523,0.451,0.282
200619,,,
200620,,,
200621,0.714,0.674,0.579
200622,0.296,0.255,0.16
200623,0.493,0.428,0.276
200624,,,
200625,0.614,0.529,0.33
200626,,,
200627,,,
200628,,,
200629,0.37,0.319,0.2
200630,0.787,0.678,0.424
200701,0.33,0.284,0.177
200702,0.733,0.636,0.41
200703,0.569,0.491,0.309
200704,0.443,0.384,0.245
200705,,,
200706,0.152,0.132,0.086
200707,1.029,0.931,0.7
200708,,,
200709,0.93,0.812,0.537
200710,0.465,0.4,0.251
200711,0.388,0.341,0.229
200712,,,
200713,0.292,0.257,0.173
200714,,,
200715,0.226,0.198,0.134
200716,0.82,0.732,0.528
200717,0.647,0.558,0.351
200718,0.885,0.764,0.482
200719,,,
200720,0.677,0.585,0.369
200721,,,
200722,0.39,0.336,0.211
200723,1.244,1.072,0.672
200724,,,
200725,0.843,0.727,0.456
200726,,,
200727,,,
200728,,,
200729,,,
200730,,,
200731,,,
200801,1.044,0.9,0.565
200802,,,
200803,0.641,0.554,0.351
200804,0.493,0.425,0.267
200805,0.286,0.25,0.167
200806,,,
200807,,,
200808,1.151,1.087,0.933
200809,,,
200810,0.592,0.526,0.372
200811,0.316,0.284,0.207
200812,0.387,0.342,0.235
200813,,,
200814,0.188,0.164,0.108
200815,,,
200816,0.258,0.227,0.153
200817,0.738,0.651,0.446
200818,0.285,0.245,0.154
200819,,,
200820,,,
200821,0.348,0.3,0.187
200822,,,
200823,0.368,0.317,0.198
200824,0.55,0.503,0.392
200825,,,
200826,,,
200827,0.345,0.297,0.186
200828,0.512,0.442,0.278
200829,,,
200830,0.368,0.317,0.199
200831,,,
200901,,,
200902,0.752,0.676,0.497
200903,0.327,0.282,0.176
200904,0.477,0.416,0.274
200905,,,
200906,,,
200907,,,
200908,,,
200909,,,
200910,,,
200911,,,
200912,,,
200913,,,
200914,,,
200915,,,
200916,,,
200917,,,
200918,,,
200919,,,
200920,0.43,0.37,0.231
200921,0.636,0.553,0.353
200922,0.435,0.376,0.237
200923,,,
200924,0.342,0.296,0.189
200925,0.672,0.627,0.519
200926,,,
200927,0.485,0.429,0.298
200928,0.37,0.325,0.218
200929,0.466,0.402,0.253
200930,,,
201001,0.093,0.087,0.073
201002,,,
201003,0.241,0.224,0.182
201004,0.405,0.368,0.282
201005,0.389,0.348,0.251
201006,0.338,0.294,0.191
201007,0.338,0.292,0.185
201008,0.219,0.189,0.119
201009,,,
201010,0.176,0.152,0.095
201011,0.344,0.321,0.268
201012,0.304,0.265,0.174
201013,0.346,0.305,0.208
201014,0.574,0.495,0.31
201015,0.406,0.35,0.22
201016,,,
201017,0.224,0.193,0.121
201018,,,
201019,0.181,0.159,0.107
201020,0.39,0.352,0.262
201021,0.385,0.343,0.244
201022,0.399,0.345,0.218
201023,0.419,0.362,0.228
201024,0.208,0.18,0.117
201025,,,
201026,0.102,0.088,0.056
201027,0.369,0.345,0.286
201028,0.308,0.266,0.167
201029,0.201,0.179,0.127
201030,0.283,0.259,0.203
201031,0.084,0.076,0.058
201101,,,
201102,0.08,0.071,0.051
201103,,,
201104,0.136,0.118,0.077
201105,0.376,0.355,0.302
201106,0.227,0.207,0.158
201107,0.267,0.237,0.165
201108,0.359,0.332,0.267
201109,0.155,0.136,0.092
201110,,,
201111,0.12,0.106,0.071
201112,0.671,0.633,0.54
201113,0.237,0.206,0.134
201114,0.31,0.269,0.173
201115,0.344,0.302,0.202
201116,0.3,0.259,0.163
201117,,,
201118,0.175,0.151,0.095
201119,,,
201120,0.231,0.204,0.142
201121,0.504,0.47,0.388
201122,0.296,0.28,0.24
201123,0.211,0.185,0.125
201124,0.316,0.274,0.173
201125,0.063,0.056,0.039
201126,,,
201127,,,
201128,2.039,1.921,1.636
201129,0.263,0.232,0.158
201130,0.295,0.256,0.167
201201,0.452,0.417,0.336
201202,0.176,0.156,0.108
201203,,,
201204,0.089,0.077,0.05
201205,,,
201206,0.189,0.164,0.104
201207,0.216,0.197,0.153
201208,0.348,0.324,0.266
201209,0.297,0.256,0.161
201210,0.295,0.26,0.179
201211,0.248,0.214,0.135
201212,,,
201213,0.241,0.208,0.131
201214,0.704,0.663,0.564
201215,0.256,0.223,0.146
201216,0.278,0.256,0.204
201217,0.09,0.078,0.05
201218,0.144,0.128,0.091
201219,,,
201220,0.087,0.076,0.05
201221,,,
201222,0.212,0.183,0.115
201223,0.529,0.48,0.363
201224,0.186,0.162,0.107
201225,0.248,0.216,0.142
201226,,,
201227,0.135,0.118,0.078
201228,,,
201229,0.084,0.074,0.049
201230,0.971,0.917,0.787
201231,0.279,0.245,0.164
