Dates,354nm,388nm,500nm
2016-05-15,,,
2016-05-16,,,
2016-05-17,0.117,0.101,0.064
2016-05-18,0.64,0.567,0.392
2016-05-19,,,
2016-05-20,0.533,0.462,0.298
2016-05-21,0.729,0.634,0.414
2016-05-22,0.221,0.19,0.119
2016-05-23,,,
2016-05-24,,,
2016-05-25,0.706,0.634,0.466
2016-05-26,,,
2016-05-27,0.702,0.605,0.379
2016-05-28,0.39,0.344,0.238
2016-05-29,0.75,0.647,0.407
2016-05-30,,,
2016-05-31,,,
2016-06-01,,,
2016-06-02,,,
2016-06-03,,,
2016-06-04,,,
2016-06-05,,,
2016-06-06,,,
2016-06-07,,,
2016-06-08,,,
2016-06-09,,,
2016-06-10,,,
2016-06-11,,,
2016-06-12,,,
2016-06-13,,,
2016-06-14,,,
2016-06-15,0.618,0.533,0.336
2016-06-16,0.249,0.214,0.134
2016-06-17,,,
2016-06-18,0.3,0.258,0.161
2016-06-19,0.793,0.71,0.515
2016-06-20,,,
2016-06-21,,,
2016-06-22,0.535,0.479,0.348
2016-06-23,0.247,0.217,0.146
2016-06-24,0.626,0.54,0.339
2016-06-25,0.275,0.238,0.15
2016-06-26,0.89,0.831,0.69
2016-06-27,,,
2016-06-28,,,
2016-06-29,0.353,0.304,0.19
2016-06-30,0.505,0.435,0.273
2016-07-01,0.411,0.354,0.223
2016-07-02,0.277,0.239,0.15
2016-07-03,,,
2016-07-04,0.358,0.308,0.193
2016-07-05,0.573,0.502,0.336
2016-07-06,0.297,0.258,0.165
2016-07-07,0.461,0.406,0.275
2016-07-08,0.634,0.552,0.359
2016-07-09,0.4,0.346,0.219
2016-07-10,0.606,0.528,0.348
2016-07-11,,,
2016-07-12,,,
2016-07-13,0.302,0.26,0.163
2016-07-14,,,
2016-07-15,0.399,0.349,0.232
2016-07-16,0.383,0.342,0.244
2016-07-17,0.577,0.518,0.38
2016-07-18,0.482,0.416,0.261
2016-07-19,,,
2016-07-20,0.29,0.25,0.157
2016-07-21,0.613,0.563,0.444
2016-07-22,,,
2016-07-23,0.659,0.57,0.362
2016-07-24,0.691,0.596,0.375
2016-07-25,0.388,0.335,0.21
2016-07-26,0.608,0.524,0.33
2016-07-27,,,
2016-07-28,,,
2016-07-29,,,
2016-07-30,0.957,0.826,0.52
2016-07-31,,,
2016-08-01,0.386,0.339,0.229
2016-08-02,0.623,0.558,0.406
2016-08-03,0.286,0.247,0.158
2016-08-04,,,
2016-08-05,,,
2016-08-06,1.182,1.018,0.639
2016-08-07,,,
2016-08-08,0.389,0.345,0.242
2016-08-09,0.393,0.338,0.212
2016-08-10,0.419,0.361,0.226
2016-08-11,0.534,0.47,0.319
2016-08-12,0.292,0.252,0.157
2016-08-13,0.88,0.779,0.543
2016-08-14,,,
2016-08-15,,,
2016-08-16,,,
2016-08-17,,,
2016-08-18,0.603,0.52,0.326
2016-08-19,0.42,0.362,0.228
2016-08-20,,,
2016-08-21,,,
2016-08-22,,,
2016-08-23,0.337,0.291,0.181
2016-08-24,0.411,0.363,0.251
2016-08-25,0.48,0.418,0.274
2016-08-26,0.286,0.247,0.155
2016-08-27,0.809,0.697,0.438
2016-08-28,0.293,0.252,0.158
2016-08-29,,,
2016-08-30,,,
2016-08-31,,,
2016-09-01,,,
2016-09-02,,,
2016-09-03,,,
2016-09-04,,,
2016-09-05,,,
2016-09-06,,,
2016-09-07,0.854,0.745,0.492
2016-09-08,0.395,0.341,0.215
2016-09-09,0.346,0.307,0.213
2016-09-10,0.58,0.515,0.362
2016-09-11,0.374,0.323,0.206
2016-09-12,0.67,0.578,0.364
2016-09-13,,,
2016-09-14,0.45,0.398,0.275
2016-09-15,,,
2016-09-16,,,
2016-09-17,,,
2016-09-18,0.428,0.372,0.239
2016-09-19,,,
2016-09-20,0.327,0.282,0.177
2016-09-21,,,
2016-09-22,0.274,0.236,0.148
2016-09-23,0.584,0.529,0.4
2016-09-24,,,
2016-09-25,0.481,0.414,0.26
2016-09-26,,,
2016-09-27,,,
2016-09-28,,,
2016-09-29,,,
2016-09-30,,,
2016-10-01,,,
2016-10-02,,,
2016-10-03,,,
2016-10-04,0.208,0.179,0.113
2016-10-05,,,
2016-10-06,0.262,0.226,0.142
2016-10-07,,,
2016-10-08,,,
2016-10-09,,,
2016-10-10,,,
2016-10-11,0.53,0.458,0.288
2016-10-12,0.25,0.216,0.136
2016-10-13,0.11,0.097,0.066
2016-10-14,,,
2016-10-15,0.183,0.157,0.098
2016-10-16,0.39,0.343,0.234
2016-10-17,0.18,0.156,0.099
2016-10-18,,,
2016-10-19,0.231,0.202,0.134
2016-10-20,0.321,0.278,0.175
2016-10-21,,,
2016-10-22,0.155,0.134,0.085
